transaction_id,date_time,customer_id,branch_id,employee_id,product_sku,product_name,product_category,unit_price,quantity,total_amount,customer_feedback,referral_source,employee_name,role,date_of_joining,leave_days_taken,sales_performance_score
TRN-1757834585-57,2025-09-14 12:53:05,CUST-5416,BCH-006,EMP-006-000,SKU-0070,Still Chips,Personal Care,7.77,2,15.54,Average experience.,Social Media,Jacob Hooper,Merchandiser,2024-01-15,,
TRN-047180,2024-12-06 01:05:26,CUST-6578,BCH-010,EMP-010-002,SKU-0042,Maybe Soap,Pantry,10.95,1,10.95,,Newspaper,Amber Griffin,Cashier,2024-04-10,2.0,70.0
TRN-033774,2024-10-02 02:41:49,CUST-7206,BCH-005,EMP-005-000,SKU-0069,After Milk,Pantry,22.03,2,44.06,Different century son take. Your change expert.,Social Media,Michael Watson,Store Manager,2024-03-07,1.0,95.0
TRN-044296,2024-12-11 21:35:57,CUST-2853,BCH-003,EMP-003-002,SKU-0030,Billion Milk,Beverages,24.02,2,48.04,,Social Media,Michael Anderson,Cashier,2024-02-28,5.0,66.0
TRN-018827,2024-12-04 11:13:08,CUST-1779,BCH-009,EMP-009-003,SKU-0057,Cell Soap,Personal Care,3.45,1,3.45,Scene report find walk win. Man purpose management. Same member with bad.,Social Media,Matthew Smith,Store Manager,2024-03-15,9.0,68.0
TRN-048800,2024-12-04 09:57:35,CUST-4932,BCH-005,EMP-005-002,SKU-0059,Near Soap,Beverages,23.77,3,71.31,,Newspaper,Colleen Montoya,Inventory Specialist,2024-09-03,10.0,75.0
TRN-029594,2024-12-15 11:45:57,CUST-4096,BCH-007,EMP-007-001,SKU-0042,Maybe Soap,Pantry,10.95,1,10.95,,Word-of-Mouth,William Gonzalez,Merchandiser,2024-05-19,0.0,82.0
TRN-015547,2024-10-09 00:48:03,CUST-4839,BCH-005,EMP-005-003,SKU-0018,Resource Chips,Snacks,6.7,3,20.1,,Word-of-Mouth,Kimberly Becker,Cashier,2024-01-11,12.0,89.0
TRN-20250915-90,2025-09-15 12:44:41,CUST-1668,BCH-008,EMP-008-002,SKU-0096,Type Chips,Snacks,23.95,2,47.9,,Word-of-Mouth,Emily Howard,Store Manager,2024-11-21,,
TRN-007533,2024-11-15 08:21:32,CUST-980,BCH-005,EMP-005-004,SKU-0026,Able Soap,Personal Care,1.46,2,2.92,,Social Media,Colin Greer,Cashier,2024-02-16,7.0,87.0
TRN-013311,2024-12-10 11:24:51,CUST-5896,BCH-008,EMP-008-000,SKU-0091,Low Chips,Snacks,19.96,1,19.96,,Newspaper,Kyle Ramos,Merchandiser,2024-03-08,1.0,99.0
TRN-20250915-191,2025-09-15 12:31:47,CUST-9620,BCH-003,EMP-003-004,SKU-0044,Marriage Soap,Personal Care,17.58,3,52.74,,Social Media,Melinda Massey,Merchandiser,2024-07-22,,
TRN-042496,2024-10-28 09:51:25,CUST-1881,BCH-009,EMP-009-002,SKU-0097,Despite Pasta,Dairy,1.91,2,3.82,,Online Ad,Brandi Collins,Store Manager,2024-10-17,2.0,90.0
TRN-027268,2024-10-24 18:46:30,CUST-7217,BCH-002,EMP-002-000,SKU-0084,So Cereal,Personal Care,17.64,3,52.92,,Online Ad,Jo Miller,Store Manager,2024-05-04,3.0,61.0
TRN-030863,2024-10-23 01:16:20,CUST-3939,BCH-010,EMP-010-000,SKU-0033,Political Milk,Pantry,19.08,3,57.24,News worker fear level discussion goal. Win adult method government. Back doctor arrive five.,Social Media,Shawn Carroll,Store Manager,2024-06-09,2.0,80.0
TRN-024555,2024-10-09 02:02:10,CUST-7133,BCH-001,EMP-001-002,SKU-0026,Able Soap,Personal Care,1.46,1,1.46,,Word-of-Mouth,April Snyder,Cashier,2024-12-02,6.0,81.0
TRN-037766,2024-10-07 16:56:25,CUST-1818,BCH-003,EMP-003-003,SKU-0089,Quickly Pasta,Beverages,5.26,2,10.52,,Word-of-Mouth,Sarah Villanueva,Merchandiser,2024-12-24,2.0,81.0
TRN-016556,2024-09-30 13:28:11,CUST-7247,BCH-005,EMP-005-002,SKU-0090,Weight Chips,Snacks,11.15,1,11.15,,Online Ad,Colleen Montoya,Inventory Specialist,2024-09-03,10.0,75.0
TRN-001363,2024-11-07 16:03:32,CUST-5917,BCH-004,EMP-004-000,SKU-0061,Rather Soap,Snacks,14.1,2,28.2,,Social Media,Robert Atkinson,Cashier,2024-12-13,8.0,80.0
TRN-036838,2024-12-09 21:09:18,CUST-1580,BCH-002,EMP-002-001,SKU-0095,Note Pasta,Snacks,20.86,1,20.86,,Word-of-Mouth,Yolanda Burns,Store Manager,2024-04-27,4.0,71.0
TRN-031317,2024-10-16 11:07:53,CUST-5334,BCH-002,EMP-002-001,SKU-0040,Court Chips,Pantry,7.88,2,15.76,,Newspaper,Yolanda Burns,Store Manager,2024-04-27,4.0,71.0
TRN-20250916-93,2025-09-16 13:07:41,CUST-7193,BCH-005,EMP-005-002,SKU-0034,Week Milk,Dairy,18.8,3,56.4,,Newspaper,Colleen Montoya,Inventory Specialist,2024-09-03,,
TRN-031297,2024-10-12 07:50:40,CUST-7749,BCH-008,EMP-008-003,SKU-0023,Address Soap,Dairy,8.91,2,17.82,,Online Ad,Brittany Vazquez,Cashier,2024-06-26,7.0,93.0
TRN-030711,2024-11-12 04:07:11,CUST-3136,BCH-009,EMP-009-000,SKU-0024,Series Soap,Snacks,20.1,1,20.1,,Word-of-Mouth,Philip Olson,Store Manager,2024-08-24,15.0,66.0
TRN-013947,2024-10-04 17:13:37,CUST-2792,BCH-006,EMP-006-004,SKU-0082,Time Milk,Snacks,9.29,1,9.29,,Online Ad,Daniel Lucas,Store Manager,2024-05-16,2.0,66.0
TRN-032163,2024-09-23 03:11:27,CUST-8061,BCH-003,EMP-003-001,SKU-0078,Hit Cereal,Beverages,19.11,3,57.33,,Word-of-Mouth,Lonnie Douglas,Store Manager,2024-07-04,1.0,71.0
TRN-014320,2024-11-30 21:43:45,CUST-7143,BCH-002,EMP-002-001,SKU-0087,Miss Chips,Pantry,7.73,3,23.19,,Newspaper,Yolanda Burns,Store Manager,2024-04-27,4.0,71.0
TRN-014166,2024-11-15 21:07:38,CUST-6178,BCH-009,EMP-009-001,SKU-0013,Because Chips,Dairy,11.51,3,34.53,,Newspaper,Ian Arroyo,Merchandiser,2024-09-03,6.0,87.0
TRN-037621,2024-12-08 00:18:00,CUST-366,BCH-009,EMP-009-003,SKU-0017,Interest Cereal,Pantry,23.72,2,47.44,,Newspaper,Matthew Smith,Store Manager,2024-03-15,9.0,68.0
TRN-027255,2024-12-29 01:50:16,CUST-8323,BCH-009,EMP-009-000,SKU-0067,Family Chips,Beverages,22.71,2,45.42,Trade idea service reveal friend. Know entire three even.,Social Media,Philip Olson,Store Manager,2024-08-24,15.0,66.0
TRN-020545,2024-12-07 16:20:51,CUST-1830,BCH-009,EMP-009-001,SKU-0038,Far Soap,Dairy,21.11,1,21.11,,Newspaper,Ian Arroyo,Merchandiser,2024-09-03,6.0,87.0
TRN-027796,2024-11-21 08:55:58,CUST-1883,BCH-003,EMP-003-001,SKU-0000,Gas Milk,Beverages,19.25,3,57.75,,Online Ad,Lonnie Douglas,Store Manager,2024-07-04,1.0,71.0
TRN-029017,2024-10-10 01:00:19,CUST-7699,BCH-005,EMP-005-001,SKU-0033,Political Milk,Pantry,19.08,3,57.24,Decade lay arrive decide everybody or set. Commercial establish test continue break great.,Social Media,Robert Garcia,Merchandiser,2024-02-26,6.0,93.0
TRN-043582,2024-11-12 11:33:46,CUST-2083,BCH-004,EMP-004-002,SKU-0082,Time Milk,Snacks,9.29,3,27.87,Somebody least president free clear worry nor once.,Word-of-Mouth,Matthew Davies,Cashier,2024-12-22,14.0,76.0
TRN-037408,2024-12-18 08:55:17,CUST-8007,BCH-002,EMP-002-000,SKU-0055,Training Milk,Snacks,11.5,2,23.0,,Online Ad,Jo Miller,Store Manager,2024-05-04,3.0,61.0
TRN-001973,2024-12-18 21:48:05,CUST-8954,BCH-001,EMP-001-001,SKU-0064,Building Soap,Personal Care,17.17,3,51.51,,Word-of-Mouth,Ryan Page,Cashier,2024-10-31,9.0,67.0
TRN-032929,2024-10-27 09:44:30,CUST-7312,BCH-010,EMP-010-002,SKU-0013,Because Chips,Dairy,11.51,3,34.53,,Online Ad,Amber Griffin,Cashier,2024-04-10,2.0,70.0
TRN-003013,2024-10-14 04:48:07,CUST-6600,BCH-001,EMP-001-001,SKU-0091,Low Chips,Snacks,19.96,3,59.88,,Online Ad,Ryan Page,Cashier,2024-10-31,9.0,67.0
TRN-013863,2024-10-01 17:06:41,CUST-7757,BCH-002,EMP-002-004,SKU-0090,Weight Chips,Snacks,11.15,3,33.45,,Newspaper,Jill Carlson,Inventory Specialist,2024-05-29,10.0,78.0
TRN-045058,2024-10-09 11:15:09,CUST-9539,BCH-004,EMP-004-004,SKU-0042,Maybe Soap,Pantry,10.95,3,32.85,,Newspaper,Sarah Sanchez,Cashier,2024-10-11,10.0,69.0
TRN-029586,2024-11-07 19:58:03,CUST-935,BCH-006,EMP-006-000,SKU-0087,Miss Chips,Pantry,7.73,1,7.73,,Online Ad,Jacob Hooper,Merchandiser,2024-01-15,9.0,77.0
TRN-026319,2024-11-18 23:42:34,CUST-1777,BCH-004,EMP-004-000,SKU-0004,Apply Chips,Pantry,13.89,2,27.78,,Word-of-Mouth,Robert Atkinson,Cashier,2024-12-13,8.0,80.0
TRN-024613,2024-12-15 01:25:54,CUST-2259,BCH-010,EMP-010-003,SKU-0026,Able Soap,Personal Care,1.46,3,4.38,Morning other strategy crime car no. Effect agreement half from sell.,Newspaper,Jill Dyer,Merchandiser,2024-12-18,12.0,79.0
TRN-008858,2024-09-26 09:12:47,CUST-296,BCH-006,EMP-006-002,SKU-0011,Official Soap,Snacks,7.42,2,14.84,,Word-of-Mouth,Daniel Owen,Cashier,2024-12-29,0.0,92.0
TRN-043839,2024-11-13 12:30:46,CUST-7578,BCH-002,EMP-002-000,SKU-0047,Beat Soap,Personal Care,11.33,1,11.33,,Online Ad,Jo Miller,Store Manager,2024-05-04,3.0,61.0
TRN-029180,2024-12-12 14:03:13,CUST-1811,BCH-004,EMP-004-004,SKU-0005,Table Cereal,Snacks,16.86,2,33.72,,Newspaper,Sarah Sanchez,Cashier,2024-10-11,10.0,69.0
